DATE,OWNER,DATASET_COUNT,KEYWORDS_COUNT,KEYWORDS_MISSING,KEYWORDS_PERCENTAGE,ABSTRACT_COUNT,ABSTRACT_MISSING,ABSTRACT_PERCENTAGE,CONTACT_COUNT,CONTACT_MISSING,CONTACT_PERCENTAGE,METADATA_COUNT,METADATA_MISSING,METADATA_PERCENTAGE,TOTAL_PERCENTAGE
2023-06-12,KT_AI,192,16,176,8.3%,192,0,100.0%,0,192,0%,192,0,100.0%,69.4%
2023-06-12,KT_AR,212,25,187,11.8%,212,0,100.0%,0,212,0%,212,0,100.0%,70.6%
2023-06-12,KT_AG,883,883,0,100.0%,883,0,100.0%,0,883,0%,0,883,0%,100.0%
2023-06-12,KT_BL,1273,0,1273,0%,178,1095,14.0%,0,1273,0%,0,1273,0%,14.0%
2023-06-12,KT_BS,2550,0,2550,0%,16,2534,0.6%,877,1673,34.4%,2080,470,81.6%,38.9%
2023-06-12,KT_BE,943,0,943,0%,920,23,97.6%,855,88,90.7%,65,878,6.9%,65.0%
2023-06-12,KT_GE,330,0,330,0%,330,0,100.0%,0,330,0%,0,330,0%,100.0%
2023-06-12,KT_GL,442,0,442,0%,0,442,0%,184,258,41.6%,0,442,0%,41.6%
2023-06-12,KT_GR,1996,17,1979,0.9%,318,1678,15.9%,0,1996,0%,1548,448,77.6%,31.4%
2023-06-12,KT_JU,1106,0,1106,0%,147,959,13.3%,34,1072,3.1%,925,181,83.6%,33.3%
2023-06-12,KT_SG,646,0,646,0%,445,201,68.9%,131,515,20.3%,13,633,2.0%,30.4%
2023-06-12,KT_SH,188,175,13,93.1%,175,13,93.1%,0,188,0%,171,17,91.0%,92.4%
2023-06-12,KT_SO,594,0,594,0%,0,594,0%,167,427,28.1%,0,594,0%,28.1%
2023-06-12,KT_SZ,1406,0,1406,0%,1272,134,90.5%,10,1396,0.7%,1295,111,92.1%,61.1%
2023-06-12,KT_TG,1154,97,1057,8.4%,171,983,14.8%,360,794,31.2%,983,171,85.2%,34.9%
2023-06-12,KT_TI,1142,0,1142,0%,1135,7,99.4%,6,1136,0.5%,6,1136,0.5%,33.5%
2023-06-12,KT_UR,470,191,279,40.6%,316,154,67.2%,194,276,41.3%,0,470,0%,49.7%
2023-06-12,KT_ZG,936,54,882,5.8%,85,851,9.1%,0,936,0%,23,913,2.5%,5.8%
2023-06-12,KT_ZH,1929,88,1841,4.6%,509,1420,26.4%,631,1298,32.7%,1825,104,94.6%,39.6%
2023-06-12,KT_VD,271,0,271,0%,139,132,51.3%,271,0,100.0%,0,271,0%,75.6%
2023-06-12,KT_FR,709,0,709,0%,186,523,26.2%,0,709,0%,0,709,0%,26.2%
2023-06-12,FL_LI,90,58,32,64.4%,82,8,91.1%,0,90,0%,89,1,98.9%,84.8%
2023-06-12,Geodienste,651,26,625,4.0%,552,99,84.8%,0,651,0%,525,126,80.6%,56.5%
2023-06-12,Bund,1338,716,622,53.5%,1335,3,99.8%,602,736,45.0%,1334,4,99.7%,74.5%
