DATE,OWNER,DATASET_COUNT,KEYWORDS_COUNT,KEYWORDS_MISSING,KEYWORDS_PERCENTAGE,ABSTRACT_COUNT,ABSTRACT_MISSING,ABSTRACT_PERCENTAGE,CONTACT_COUNT,CONTACT_MISSING,CONTACT_PERCENTAGE,METADATA_COUNT,METADATA_MISSING,METADATA_PERCENTAGE,TOTAL_PERCENTAGE
2023-07-02,KT_AI,200,16,184,8.0%,200,0,100.0%,0,200,0%,200,0,100.0%,69.3%
2023-07-02,KT_AR,220,25,195,11.4%,220,0,100.0%,0,220,0%,220,0,100.0%,70.5%
2023-07-02,KT_AG,883,883,0,100.0%,883,0,100.0%,0,883,0%,0,883,0%,100.0%
2023-07-02,KT_BL,1264,0,1264,0%,178,1086,14.1%,0,1264,0%,0,1264,0%,14.1%
2023-07-02,KT_BS,2551,0,2551,0%,16,2535,0.6%,877,1674,34.4%,2081,470,81.6%,38.9%
2023-07-02,KT_BE,980,0,980,0%,957,23,97.7%,893,87,91.1%,64,916,6.5%,65.1%
2023-07-02,KT_GE,342,0,342,0%,342,0,100.0%,0,342,0%,0,342,0%,100.0%
2023-07-02,KT_GL,442,0,442,0%,0,442,0%,184,258,41.6%,0,442,0%,41.6%
2023-07-02,KT_GR,1992,17,1975,0.9%,319,1673,16.0%,0,1992,0%,1543,449,77.5%,31.4%
2023-07-02,KT_JU,1106,0,1106,0%,147,959,13.3%,34,1072,3.1%,925,181,83.6%,33.3%
2023-07-02,KT_SG,646,0,646,0%,445,201,68.9%,131,515,20.3%,13,633,2.0%,30.4%
2023-07-02,KT_SH,188,175,13,93.1%,175,13,93.1%,0,188,0%,171,17,91.0%,92.4%
2023-07-02,KT_SO,615,1,614,0.2%,0,615,0%,177,438,28.8%,0,615,0%,14.5%
2023-07-02,KT_SZ,1406,0,1406,0%,1272,134,90.5%,10,1396,0.7%,1295,111,92.1%,61.1%
2023-07-02,KT_TG,1154,97,1057,8.4%,171,983,14.8%,360,794,31.2%,983,171,85.2%,34.9%
2023-07-02,KT_TI,1155,0,1155,0%,1148,7,99.4%,6,1149,0.5%,6,1149,0.5%,33.5%
2023-07-02,KT_UR,470,191,279,40.6%,316,154,67.2%,194,276,41.3%,0,470,0%,49.7%
2023-07-02,KT_ZG,939,54,885,5.8%,85,854,9.1%,0,939,0%,23,916,2.4%,5.8%
2023-07-02,KT_ZH,1945,88,1857,4.5%,510,1435,26.2%,632,1313,32.5%,1841,104,94.7%,39.5%
2023-07-02,KT_VD,285,0,285,0%,140,145,49.1%,285,0,100.0%,0,285,0%,74.6%
2023-07-02,KT_FR,706,0,706,0%,186,520,26.3%,0,706,0%,0,706,0%,26.3%
2023-07-02,FL_LI,90,58,32,64.4%,82,8,91.1%,0,90,0%,89,1,98.9%,84.8%
2023-07-02,Geodienste,652,26,626,4.0%,553,99,84.8%,0,652,0%,526,126,80.7%,56.5%
2023-07-02,Bund,1338,716,622,53.5%,1335,3,99.8%,602,736,45.0%,1334,4,99.7%,74.5%
