DATE,OWNER,DATASET_COUNT,KEYWORDS_COUNT,KEYWORDS_MISSING,KEYWORDS_PERCENTAGE,ABSTRACT_COUNT,ABSTRACT_MISSING,ABSTRACT_PERCENTAGE,CONTACT_COUNT,CONTACT_MISSING,CONTACT_PERCENTAGE,METADATA_COUNT,METADATA_MISSING,METADATA_PERCENTAGE,TOTAL_PERCENTAGE
2024-03-10,KT_AI,213,17,196,8.0%,213,0,100.0%,0,213,0%,213,0,100.0%,69.3%
2024-03-10,KT_AR,237,26,211,11.0%,237,0,100.0%,0,237,0%,237,0,100.0%,70.3%
2024-03-10,KT_AG,897,897,0,100.0%,897,0,100.0%,0,897,0%,0,897,0%,100.0%
2024-03-10,KT_BL,1341,0,1341,0%,189,1152,14.1%,7,1334,0.5%,0,1341,0%,7.3%
2024-03-10,KT_BS,995,0,995,0%,8,987,0.8%,995,0,100.0%,869,126,87.3%,62.7%
2024-03-10,KT_BE,1024,0,1024,0%,998,26,97.5%,924,100,90.2%,74,950,7.2%,65.0%
2024-03-10,KT_GE,141,0,141,0%,141,0,100.0%,0,141,0%,0,141,0%,100.0%
2024-03-10,KT_GL,446,0,446,0%,0,446,0%,186,260,41.7%,0,446,0%,41.7%
2024-03-10,KT_GR,1931,1,1930,0.1%,312,1619,16.2%,0,1931,0%,1489,442,77.1%,31.1%
2024-03-10,KT_JU,1158,0,1158,0%,155,1003,13.4%,37,1121,3.2%,966,192,83.4%,33.3%
2024-03-10,KT_SG,655,0,655,0%,453,202,69.2%,132,523,20.2%,13,642,2.0%,30.4%
2024-03-10,KT_SH,188,174,14,92.6%,175,13,93.1%,0,188,0%,170,18,90.4%,92.0%
2024-03-10,KT_SO,652,0,652,0%,0,652,0%,184,468,28.2%,0,652,0%,28.2%
2024-03-10,KT_SZ,2163,0,2163,0%,2082,81,96.3%,10,2153,0.5%,2113,50,97.7%,64.8%
2024-03-10,KT_TG,1061,96,965,9.0%,180,881,17.0%,317,744,29.9%,881,180,83.0%,34.7%
2024-03-10,KT_TI,1362,0,1362,0%,1353,9,99.3%,9,1353,0.7%,9,1353,0.7%,33.6%
2024-03-10,KT_UR,534,221,313,41.4%,371,163,69.5%,223,311,41.8%,0,534,0%,50.9%
2024-03-10,KT_ZG,814,55,759,6.8%,87,727,10.7%,0,814,0%,22,792,2.7%,6.7%
2024-03-10,KT_ZH,1973,87,1886,4.4%,519,1454,26.3%,642,1331,32.5%,1867,106,94.6%,39.5%
2024-03-10,KT_VD,351,0,351,0%,171,180,48.7%,351,0,100.0%,0,351,0%,74.4%
2024-03-10,KT_FR,693,0,693,0%,219,474,31.6%,0,693,0%,0,693,0%,31.6%
2024-03-10,FL_LI,113,80,33,70.8%,105,8,92.9%,0,113,0%,112,1,99.1%,87.6%
2024-03-10,Geodienste,656,26,630,4.0%,557,99,84.9%,0,656,0%,530,126,80.8%,56.6%
2024-03-10,Bund,1402,764,638,54.5%,1402,0,100.0%,613,789,43.7%,1396,6,99.6%,74.4%
