DATE,OWNER,DATASET_COUNT,KEYWORDS_COUNT,KEYWORDS_MISSING,KEYWORDS_PERCENTAGE,ABSTRACT_COUNT,ABSTRACT_MISSING,ABSTRACT_PERCENTAGE,CONTACT_COUNT,CONTACT_MISSING,CONTACT_PERCENTAGE,METADATA_COUNT,METADATA_MISSING,METADATA_PERCENTAGE,TOTAL_PERCENTAGE
2024-05-05,KT_AI,216,18,198,8.3%,216,0,100.0%,0,216,0%,216,0,100.0%,69.4%
2024-05-05,KT_AR,248,27,221,10.9%,248,0,100.0%,0,248,0%,248,0,100.0%,70.3%
2024-05-05,KT_AG,894,894,0,100.0%,894,0,100.0%,0,894,0%,0,894,0%,100.0%
2024-05-05,KT_BL,1367,0,1367,0%,195,1172,14.3%,7,1360,0.5%,0,1367,0%,7.4%
2024-05-05,KT_BS,997,0,997,0%,8,989,0.8%,997,0,100.0%,871,126,87.4%,62.7%
2024-05-05,KT_GE,338,0,338,0%,334,4,98.8%,0,338,0%,0,338,0%,98.8%
2024-05-05,KT_BE,101,0,101,0%,75,26,74.3%,0,101,0%,75,26,74.3%,74.3%
2024-05-05,KT_GL,446,0,446,0%,0,446,0%,186,260,41.7%,0,446,0%,41.7%
2024-05-05,KT_GR,1931,1,1930,0.1%,312,1619,16.2%,0,1931,0%,1489,442,77.1%,31.1%
2024-05-05,KT_JU,1176,0,1176,0%,159,1017,13.5%,37,1139,3.1%,980,196,83.3%,33.3%
2024-05-05,KT_SG,655,0,655,0%,453,202,69.2%,132,523,20.2%,13,642,2.0%,30.4%
2024-05-05,KT_SH,198,176,22,88.9%,172,26,86.9%,0,198,0%,179,19,90.4%,88.7%
2024-05-05,KT_SO,709,0,709,0%,0,709,0%,201,508,28.3%,0,709,0%,28.3%
2024-05-05,KT_SZ,1917,0,1917,0%,1836,81,95.8%,10,1907,0.5%,1871,46,97.6%,64.6%
2024-05-05,KT_TG,1061,96,965,9.0%,180,881,17.0%,317,744,29.9%,881,180,83.0%,34.7%
2024-05-05,KT_TI,1375,0,1375,0%,1366,9,99.3%,9,1366,0.7%,9,1366,0.7%,33.6%
2024-05-05,KT_UR,1068,467,601,43.7%,381,687,35.7%,470,598,44.0%,0,1068,0%,41.1%
2024-05-05,KT_ZH,1973,86,1887,4.4%,516,1457,26.2%,643,1330,32.6%,1871,102,94.8%,39.5%
2024-05-05,KT_VD,358,0,358,0%,174,184,48.6%,358,0,100.0%,0,358,0%,74.3%
2024-05-05,KT_FR,683,0,683,0%,214,469,31.3%,0,683,0%,0,683,0%,31.3%
2024-05-05,FL_LI,115,83,32,72.2%,107,8,93.0%,0,115,0%,114,1,99.1%,88.1%
2024-05-05,Geodienste,656,26,630,4.0%,557,99,84.9%,0,656,0%,530,126,80.8%,56.6%
2024-05-05,Bund,1402,763,639,54.4%,1402,0,100.0%,614,788,43.8%,1396,6,99.6%,74.4%
