DATE,OWNER,DATASET_COUNT,KEYWORDS_COUNT,KEYWORDS_MISSING,KEYWORDS_PERCENTAGE,ABSTRACT_COUNT,ABSTRACT_MISSING,ABSTRACT_PERCENTAGE,CONTACT_COUNT,CONTACT_MISSING,CONTACT_PERCENTAGE,METADATA_COUNT,METADATA_MISSING,METADATA_PERCENTAGE,TOTAL_PERCENTAGE
2024-09-22,KT_AI,215,17,198,7.9%,215,0,100.0%,0,215,0%,215,0,100.0%,69.3%
2024-09-22,KT_AR,249,27,222,10.8%,249,0,100.0%,0,249,0%,249,0,100.0%,70.3%
2024-09-22,KT_AG,897,897,0,100.0%,897,0,100.0%,0,897,0%,0,897,0%,100.0%
2024-09-22,KT_BL,1373,0,1373,0%,196,1177,14.3%,7,1366,0.5%,0,1373,0%,7.4%
2024-09-22,KT_BS,2344,0,2344,0%,9,2335,0.4%,1010,1334,43.1%,1883,461,80.3%,41.3%
2024-09-22,KT_BE,1370,0,1370,0%,1317,53,96.1%,1270,100,92.7%,74,1296,5.4%,64.7%
2024-09-22,KT_GL,443,0,443,0%,0,443,0%,183,260,41.3%,0,443,0%,41.3%
2024-09-22,KT_GR,1961,1,1960,0.1%,318,1643,16.2%,0,1961,0%,1513,448,77.2%,31.1%
2024-09-22,KT_JU,1164,0,1164,0%,151,1013,13.0%,37,1127,3.2%,976,188,83.8%,33.3%
2024-09-22,KT_SG,661,0,661,0%,434,227,65.7%,135,526,20.4%,12,649,1.8%,29.3%
2024-09-22,KT_SH,207,185,22,89.4%,181,26,87.4%,0,207,0%,186,21,89.9%,88.9%
2024-09-22,KT_SO,687,0,687,0%,0,687,0%,180,507,26.2%,0,687,0%,26.2%
2024-09-22,KT_SZ,1936,0,1936,0%,1855,81,95.8%,10,1926,0.5%,1890,46,97.6%,64.7%
2024-09-22,KT_TG,1045,94,951,9.0%,178,867,17.0%,311,734,29.8%,867,178,83.0%,34.7%
2024-09-22,KT_TI,1394,0,1394,0%,1388,6,99.6%,6,1388,0.4%,6,1388,0.4%,33.5%
2024-09-22,KT_UR,807,350,457,43.4%,299,508,37.1%,353,454,43.7%,0,807,0%,41.4%
2024-09-22,KT_ZH,1930,85,1845,4.4%,522,1408,27.0%,643,1287,33.3%,1821,109,94.4%,39.8%
2024-09-22,KT_VD,374,0,374,0%,183,191,48.9%,374,0,100.0%,0,374,0%,74.5%
2024-09-22,KT_FR,723,0,723,0%,247,476,34.2%,0,723,0%,0,723,0%,34.2%
2024-09-22,FL_LI,131,99,32,75.6%,109,22,83.2%,0,131,0%,130,1,99.2%,86.0%
2024-09-22,Geodienste,658,26,632,4.0%,555,103,84.3%,0,658,0%,528,130,80.2%,56.2%
2024-09-22,Bund,1489,798,691,53.6%,1489,0,100.0%,645,844,43.3%,1483,6,99.6%,74.1%
