DATE,OWNER,DATASET_COUNT,KEYWORDS_COUNT,KEYWORDS_MISSING,KEYWORDS_PERCENTAGE,ABSTRACT_COUNT,ABSTRACT_MISSING,ABSTRACT_PERCENTAGE,CONTACT_COUNT,CONTACT_MISSING,CONTACT_PERCENTAGE,METADATA_COUNT,METADATA_MISSING,METADATA_PERCENTAGE,TOTAL_PERCENTAGE
2024-10-06,KT_AI,214,17,197,7.9%,214,0,100.0%,0,214,0%,214,0,100.0%,69.3%
2024-10-06,KT_AR,239,27,212,11.3%,239,0,100.0%,0,239,0%,239,0,100.0%,70.4%
2024-10-06,KT_AG,899,899,0,100.0%,899,0,100.0%,0,899,0%,0,899,0%,100.0%
2024-10-06,KT_BL,1373,0,1373,0%,196,1177,14.3%,7,1366,0.5%,0,1373,0%,7.4%
2024-10-06,KT_BS,2265,0,2265,0%,11,2254,0.5%,1022,1243,45.1%,1804,461,79.6%,41.8%
2024-10-06,KT_BE,1372,0,1372,0%,1330,42,96.9%,1272,100,92.7%,74,1298,5.4%,65.0%
2024-10-06,KT_GL,443,0,443,0%,0,443,0%,183,260,41.3%,0,443,0%,41.3%
2024-10-06,KT_GR,1958,1,1957,0.1%,317,1641,16.2%,0,1958,0%,1511,447,77.2%,31.1%
2024-10-06,KT_JU,1164,0,1164,0%,151,1013,13.0%,37,1127,3.2%,976,188,83.8%,33.3%
2024-10-06,KT_SG,660,0,660,0%,433,227,65.6%,135,525,20.5%,12,648,1.8%,29.3%
2024-10-06,KT_SH,200,178,22,89.0%,174,26,87.0%,0,200,0%,179,21,89.5%,88.5%
2024-10-06,KT_SO,687,0,687,0%,0,687,0%,180,507,26.2%,0,687,0%,26.2%
2024-10-06,KT_SZ,1936,0,1936,0%,1855,81,95.8%,10,1926,0.5%,1890,46,97.6%,64.7%
2024-10-06,KT_TG,1043,93,950,8.9%,177,866,17.0%,311,732,29.8%,866,177,83.0%,34.7%
2024-10-06,KT_TI,1397,0,1397,0%,1391,6,99.6%,6,1391,0.4%,6,1391,0.4%,33.5%
2024-10-06,KT_UR,821,357,464,43.5%,301,520,36.7%,360,461,43.8%,0,821,0%,41.3%
2024-10-06,KT_ZG,874,60,814,6.9%,106,768,12.1%,7,867,0.8%,22,852,2.5%,5.6%
2024-10-06,KT_ZH,1934,85,1849,4.4%,520,1414,26.9%,645,1289,33.4%,1827,107,94.5%,39.8%
2024-10-06,KT_VD,380,0,380,0%,186,194,48.9%,380,0,100.0%,0,380,0%,74.5%
2024-10-06,KT_FR,721,0,721,0%,248,473,34.4%,0,721,0%,0,721,0%,34.4%
2024-10-06,FL_LI,134,102,32,76.1%,108,26,80.6%,0,134,0%,133,1,99.3%,85.3%
2024-10-06,Geodienste,658,26,632,4.0%,555,103,84.3%,0,658,0%,528,130,80.2%,56.2%
2024-10-06,Bund,1490,799,691,53.6%,1490,0,100.0%,645,845,43.3%,1484,6,99.6%,74.1%
