DATE,OWNER,DATASET_COUNT,KEYWORDS_COUNT,KEYWORDS_MISSING,KEYWORDS_PERCENTAGE,ABSTRACT_COUNT,ABSTRACT_MISSING,ABSTRACT_PERCENTAGE,CONTACT_COUNT,CONTACT_MISSING,CONTACT_PERCENTAGE,METADATA_COUNT,METADATA_MISSING,METADATA_PERCENTAGE,TOTAL_PERCENTAGE
2024-10-27,KT_AI,216,17,199,7.9%,216,0,100.0%,0,216,0%,216,0,100.0%,69.3%
2024-10-27,KT_AR,244,27,217,11.1%,244,0,100.0%,0,244,0%,244,0,100.0%,70.4%
2024-10-27,KT_AG,899,899,0,100.0%,899,0,100.0%,0,899,0%,0,899,0%,100.0%
2024-10-27,KT_BL,1373,0,1373,0%,196,1177,14.3%,7,1366,0.5%,0,1373,0%,7.4%
2024-10-27,KT_BS,2296,0,2296,0%,12,2284,0.5%,1022,1274,44.5%,1837,459,80.0%,41.7%
2024-10-27,KT_BE,1388,0,1388,0%,1346,42,97.0%,1288,100,92.8%,74,1314,5.3%,65.0%
2024-10-27,KT_GL,443,0,443,0%,0,443,0%,183,260,41.3%,0,443,0%,41.3%
2024-10-27,KT_GR,1958,1,1957,0.1%,317,1641,16.2%,0,1958,0%,1511,447,77.2%,31.1%
2024-10-27,KT_JU,1165,0,1165,0%,151,1014,13.0%,38,1127,3.3%,976,189,83.8%,33.3%
2024-10-27,KT_SG,681,0,681,0%,449,232,65.9%,135,546,19.8%,13,668,1.9%,29.2%
2024-10-27,KT_SH,209,187,22,89.5%,183,26,87.6%,0,209,0%,188,21,90.0%,89.0%
2024-10-27,KT_SO,686,0,686,0%,0,686,0%,179,507,26.1%,0,686,0%,26.1%
2024-10-27,KT_SZ,1933,0,1933,0%,1852,81,95.8%,10,1923,0.5%,1887,46,97.6%,64.6%
2024-10-27,KT_TG,1043,93,950,8.9%,177,866,17.0%,311,732,29.8%,866,177,83.0%,34.7%
2024-10-27,KT_TI,1408,0,1408,0%,1402,6,99.6%,6,1402,0.4%,6,1402,0.4%,33.5%
2024-10-27,KT_UR,824,358,466,43.4%,301,523,36.5%,360,464,43.7%,0,824,0%,41.2%
2024-10-27,KT_ZG,874,60,814,6.9%,106,768,12.1%,7,867,0.8%,22,852,2.5%,5.6%
2024-10-27,KT_ZH,1937,85,1852,4.4%,523,1414,27.0%,648,1289,33.5%,1830,107,94.5%,39.8%
2024-10-27,KT_VD,379,0,379,0%,185,194,48.8%,379,0,100.0%,0,379,0%,74.4%
2024-10-27,KT_FR,721,0,721,0%,248,473,34.4%,0,721,0%,0,721,0%,34.4%
2024-10-27,FL_LI,136,104,32,76.5%,134,2,98.5%,0,136,0%,135,1,99.3%,91.4%
2024-10-27,Geodienste,578,26,552,4.5%,476,102,82.4%,0,578,0%,449,129,77.7%,54.8%
2024-10-27,Bund,1462,792,670,54.2%,1462,0,100.0%,641,821,43.8%,1456,6,99.6%,74.4%
