DATE,OWNER,DATASET_COUNT,KEYWORDS_COUNT,KEYWORDS_MISSING,KEYWORDS_PERCENTAGE,ABSTRACT_COUNT,ABSTRACT_MISSING,ABSTRACT_PERCENTAGE,CONTACT_COUNT,CONTACT_MISSING,CONTACT_PERCENTAGE,METADATA_COUNT,METADATA_MISSING,METADATA_PERCENTAGE,TOTAL_PERCENTAGE
2025-03-23,KT_AI,235,18,217,7.7%,235,0,100.0%,0,235,0%,235,0,100.0%,69.2%
2025-03-23,KT_AR,252,28,224,11.1%,252,0,100.0%,0,252,0%,252,0,100.0%,70.4%
2025-03-23,KT_AG,908,908,0,100.0%,908,0,100.0%,0,908,0%,0,908,0%,100.0%
2025-03-23,KT_BL,1382,0,1382,0%,197,1185,14.3%,7,1375,0.5%,0,1382,0%,7.4%
2025-03-23,KT_BS,2361,0,2361,0%,11,2350,0.5%,1078,1283,45.7%,1889,472,80.0%,42.0%
2025-03-23,KT_BE,1304,0,1304,0%,1267,37,97.2%,1199,105,91.9%,78,1226,6.0%,65.0%
2025-03-23,KT_GL,437,0,437,0%,0,437,0%,181,256,41.4%,0,437,0%,41.4%
2025-03-23,KT_GR,1941,4,1937,0.2%,310,1631,16.0%,0,1941,0%,1499,442,77.2%,31.1%
2025-03-23,KT_JU,1187,0,1187,0%,152,1035,12.8%,38,1149,3.2%,997,190,84.0%,33.3%
2025-03-23,KT_SG,644,0,644,0%,409,235,63.5%,137,507,21.3%,13,631,2.0%,28.9%
2025-03-23,KT_SH,203,180,23,88.7%,177,26,87.2%,0,203,0%,183,20,90.1%,88.7%
2025-03-23,KT_SO,706,0,706,0%,0,706,0%,182,524,25.8%,0,706,0%,25.8%
2025-03-23,KT_SZ,2005,0,2005,0%,1925,80,96.0%,10,1995,0.5%,1960,45,97.8%,64.8%
2025-03-23,KT_TG,1039,94,945,9.0%,178,861,17.1%,308,731,29.6%,861,178,82.9%,34.7%
2025-03-23,KT_TI,1360,0,1360,0%,1354,6,99.6%,6,1354,0.4%,6,1354,0.4%,33.5%
2025-03-23,KT_UR,830,360,470,43.4%,300,530,36.1%,362,468,43.6%,0,830,0%,41.0%
2025-03-23,KT_ZH,1906,83,1823,4.4%,517,1389,27.1%,641,1265,33.6%,1801,105,94.5%,39.9%
2025-03-23,KT_VD,394,0,394,0%,184,210,46.7%,394,0,100.0%,0,394,0%,73.4%
2025-03-23,KT_FR,711,0,711,0%,252,459,35.4%,0,711,0%,0,711,0%,35.4%
2025-03-23,FL_LI,147,107,40,72.8%,144,3,98.0%,0,147,0%,145,2,98.6%,89.8%
2025-03-23,Geodienste,659,25,634,3.8%,556,103,84.4%,0,659,0%,530,129,80.4%,56.2%
2025-03-23,Bund,1492,807,685,54.1%,1492,0,100.0%,652,840,43.7%,1486,6,99.6%,74.3%
