DATE,OWNER,DATASET_COUNT,KEYWORDS_COUNT,KEYWORDS_MISSING,KEYWORDS_PERCENTAGE,ABSTRACT_COUNT,ABSTRACT_MISSING,ABSTRACT_PERCENTAGE,CONTACT_COUNT,CONTACT_MISSING,CONTACT_PERCENTAGE,METADATA_COUNT,METADATA_MISSING,METADATA_PERCENTAGE,TOTAL_PERCENTAGE
2025-04-06,KT_AI,235,18,217,7.7%,235,0,100.0%,0,235,0%,235,0,100.0%,69.2%
2025-04-06,KT_AR,247,28,219,11.3%,247,0,100.0%,0,247,0%,247,0,100.0%,70.4%
2025-04-06,KT_AG,909,909,0,100.0%,909,0,100.0%,0,909,0%,0,909,0%,100.0%
2025-04-06,KT_BL,1379,0,1379,0%,197,1182,14.3%,7,1372,0.5%,0,1379,0%,7.4%
2025-04-06,KT_BS,2429,0,2429,0%,13,2416,0.5%,1078,1351,44.4%,1947,482,80.2%,41.7%
2025-04-06,KT_BE,1367,0,1367,0%,1330,37,97.3%,1262,105,92.3%,78,1289,5.7%,65.1%
2025-04-06,KT_GL,437,0,437,0%,0,437,0%,181,256,41.4%,0,437,0%,41.4%
2025-04-06,KT_GR,1847,4,1843,0.2%,282,1565,15.3%,0,1847,0%,1433,414,77.6%,31.0%
2025-04-06,KT_JU,1187,0,1187,0%,152,1035,12.8%,38,1149,3.2%,997,190,84.0%,33.3%
2025-04-06,KT_SG,627,0,627,0%,400,227,63.8%,129,498,20.6%,13,614,2.1%,28.8%
2025-04-06,KT_SH,210,187,23,89.0%,184,26,87.6%,0,210,0%,191,19,91.0%,89.2%
2025-04-06,KT_SO,708,0,708,0%,0,708,0%,182,526,25.7%,0,708,0%,25.7%
2025-04-06,KT_SZ,2031,0,2031,0%,1953,78,96.2%,10,2021,0.5%,1986,45,97.8%,64.8%
2025-04-06,KT_TG,1031,93,938,9.0%,177,854,17.2%,311,720,30.2%,854,177,82.8%,34.8%
2025-04-06,KT_TI,1323,0,1323,0%,1317,6,99.5%,6,1317,0.5%,6,1317,0.5%,33.5%
2025-04-06,KT_UR,830,360,470,43.4%,300,530,36.1%,362,468,43.6%,0,830,0%,41.0%
2025-04-06,KT_ZH,1911,84,1827,4.4%,518,1393,27.1%,641,1270,33.5%,1805,106,94.5%,39.9%
2025-04-06,KT_VD,394,0,394,0%,187,207,47.5%,394,0,100.0%,0,394,0%,73.7%
2025-04-06,KT_FR,691,0,691,0%,249,442,36.0%,0,691,0%,0,691,0%,36.0%
2025-04-06,FL_LI,147,107,40,72.8%,144,3,98.0%,0,147,0%,145,2,98.6%,89.8%
2025-04-06,Geodienste,659,25,634,3.8%,556,103,84.4%,0,659,0%,530,129,80.4%,56.2%
2025-04-06,Bund,1493,808,685,54.1%,1493,0,100.0%,652,841,43.7%,1487,6,99.6%,74.3%
